Game_Date,Game_Date_ISO,Team,Is_Home_Team,Opponent,Team_Score,Opponent_Score,Pace,eFG_PCT,TOV_PCT,ORB_PCT,FT_Rate,ORtg,Won,Home_Won,Opponent_eFG_PCT,Opponent_TOV_PCT,Opponent_ORB_PCT,Opponent_FT_Rate,Opponent_ORtg,Box_Score_URL
2025-03-24,2025-03-24,Indiana Pacers,True,Minnesota Timberwolves,119,103,101.7,.559,10.7,20.0,.149,117.0,1,1,.533,15.1,19.6,.066,101.2,https://www.basketball-reference.com/boxscores/202503240IND.html
2025-03-24,2025-03-24,Los Angeles Lakers,False,Orlando Magic,106,118,89.8,.525,10.6,26.2,.275,118.1,0,0,.582,8.6,30.0,.224,131.4,https://www.basketball-reference.com/boxscores/202503240ORL.html
2025-03-24,2025-03-24,Orlando Magic,True,Los Angeles Lakers,118,106,89.8,.582,8.6,30.0,.224,131.4,1,1,.525,10.6,26.2,.275,118.1,https://www.basketball-reference.com/boxscores/202503240ORL.html
2025-03-24,2025-03-24,Toronto Raptors,False,Washington Wizards,112,104,106.1,.455,9.6,30.4,.198,105.5,1,0,.466,14.3,17.3,.264,98.0,https://www.basketball-reference.com/boxscores/202503240WAS.html
2025-03-24,2025-03-24,Washington Wizards,True,Toronto Raptors,104,112,106.1,.466,14.3,17.3,.264,98.0,0,1,.455,9.6,30.4,.198,105.5,https://www.basketball-reference.com/boxscores/202503240WAS.html
2025-03-24,2025-03-24,Dallas Mavericks,False,Brooklyn Nets,120,101,93.1,.621,10.5,28.2,.138,128.9,1,0,.583,18.4,23.1,.128,108.5,https://www.basketball-reference.com/boxscores/202503240BRK.html
2025-03-24,2025-03-24,Brooklyn Nets,True,Dallas Mavericks,101,120,93.1,.583,18.4,23.1,.128,108.5,0,1,.621,10.5,28.2,.138,128.9,https://www.basketball-reference.com/boxscores/202503240BRK.html
2025-03-24,2025-03-24,Philadelphia 76ers,False,New Orleans Pelicans,99,112,93.0,.471,11.2,24.0,.195,106.4,0,0,.580,15.5,34.2,.126,120.4,https://www.basketball-reference.com/boxscores/202503240NOP.html
2025-03-24,2025-03-24,New Orleans Pelicans,True,Philadelphia 76ers,112,99,93.0,.580,15.5,34.2,.126,120.4,1,1,.471,11.2,24.0,.195,106.4,https://www.basketball-reference.com/boxscores/202503240NOP.html
2025-03-24,2025-03-24,Chicago Bulls,False,Denver Nuggets,129,119,99.1,.588,8.9,25.5,.242,130.2,1,0,.531,10.0,35.4,.165,120.1,https://www.basketball-reference.com/boxscores/202503240DEN.html
2025-03-24,2025-03-24,Denver Nuggets,True,Chicago Bulls,119,129,99.1,.531,10.0,35.4,.165,120.1,0,1,.588,8.9,25.5,.242,130.2,https://www.basketball-reference.com/boxscores/202503240DEN.html
2025-03-24,2025-03-24,Milwaukee Bucks,False,Phoenix Suns,106,108,90.8,.518,6.8,19.1,.241,116.7,0,0,.561,15.1,34.1,.195,118.9,https://www.basketball-reference.com/boxscores/202503240PHO.html
2025-03-24,2025-03-24,Phoenix Suns,True,Milwaukee Bucks,108,106,90.8,.561,15.1,34.1,.195,118.9,1,1,.518,6.8,19.1,.241,116.7,https://www.basketball-reference.com/boxscores/202503240PHO.html
2025-03-24,2025-03-24,Boston Celtics,False,Sacramento Kings,113,95,96.4,.561,9.2,21.3,.133,117.2,1,0,.500,14.2,18.6,.105,98.5,https://www.basketball-reference.com/boxscores/202503240SAC.html
2025-03-24,2025-03-24,Sacramento Kings,True,Boston Celtics,95,113,96.4,.500,14.2,18.6,.105,98.5,0,1,.561,9.2,21.3,.133,117.2,https://www.basketball-reference.com/boxscores/202503240SAC.html
2025-03-25,2025-03-25,Orlando Magic,False,Charlotte Hornets,111,104,95.2,.528,10.1,30.2,.178,116.6,1,0,.500,10.2,17.8,.182,109.2,https://www.basketball-reference.com/boxscores/202503250CHO.html
2025-03-25,2025-03-25,Charlotte Hornets,True,Orlando Magic,104,111,95.2,.500,10.2,17.8,.182,109.2,0,1,.528,10.1,30.2,.178,116.6,https://www.basketball-reference.com/boxscores/202503250CHO.html
2025-03-25,2025-03-25,San Antonio Spurs,False,Detroit Pistons,96,122,91.8,.440,9.9,29.6,.176,104.6,0,0,.660,11.0,19.4,.244,132.9,https://www.basketball-reference.com/boxscores/202503250DET.html
2025-03-25,2025-03-25,Detroit Pistons,True,San Antonio Spurs,122,96,91.8,.660,11.0,19.4,.244,132.9,1,1,.440,9.9,29.6,.176,104.6,https://www.basketball-reference.com/boxscores/202503250DET.html
2025-03-25,2025-03-25,Golden State Warriors,False,Miami Heat,86,112,90.3,.452,15.1,29.2,.133,95.3,0,0,.669,17.9,25.0,.117,124.1,https://www.basketball-reference.com/boxscores/202503250MIA.html
2025-03-25,2025-03-25,Miami Heat,True,Golden State Warriors,112,86,90.3,.669,17.9,25.0,.117,124.1,1,1,.452,15.1,29.2,.133,95.3,https://www.basketball-reference.com/boxscores/202503250MIA.html
2025-03-25,2025-03-25,Dallas Mavericks,False,New York Knicks,113,128,102.9,.575,15.0,13.9,.263,109.8,0,0,.652,13.4,15.2,.135,124.4,https://www.basketball-reference.com/boxscores/202503250NYK.html
2025-03-25,2025-03-25,New York Knicks,True,Dallas Mavericks,128,113,102.9,.652,13.4,15.2,.135,124.4,1,1,.575,15.0,13.9,.263,109.8,https://www.basketball-reference.com/boxscores/202503250NYK.html
2025-03-25,2025-03-25,Atlanta Hawks,False,Houston Rockets,114,121,101.2,.490,11.3,32.7,.126,112.6,0,0,.511,13.1,36.8,.280,119.5,https://www.basketball-reference.com/boxscores/202503250HOU.html
2025-03-25,2025-03-25,Houston Rockets,True,Atlanta Hawks,121,114,101.2,.511,13.1,36.8,.280,119.5,1,1,.490,11.3,32.7,.126,112.6,https://www.basketball-reference.com/boxscores/202503250HOU.html
2025-03-25,2025-03-25,Memphis Grizzlies,False,Utah Jazz,140,103,94.9,.633,7.8,41.5,.163,147.6,1,0,.545,13.8,10.3,.231,108.6,https://www.basketball-reference.com/boxscores/202503250UTA.html
2025-03-25,2025-03-25,Utah Jazz,True,Memphis Grizzlies,103,140,94.9,.545,13.8,10.3,.231,108.6,0,1,.633,7.8,41.5,.163,147.6,https://www.basketball-reference.com/boxscores/202503250UTA.html
2025-03-25,2025-03-25,Cleveland Cavaliers,False,Portland Trail Blazers,122,111,96.3,.614,12.8,25.7,.159,126.6,1,0,.485,8.4,37.3,.140,115.2,https://www.basketball-reference.com/boxscores/202503250POR.html
2025-03-25,2025-03-25,Portland Trail Blazers,True,Cleveland Cavaliers,111,122,96.3,.485,8.4,37.3,.140,115.2,0,1,.614,12.8,25.7,.159,126.6,https://www.basketball-reference.com/boxscores/202503250POR.html
2025-03-25,2025-03-25,Oklahoma City Thunder,False,Sacramento Kings,121,105,100.7,.640,15.8,16.2,.195,120.2,1,0,.533,10.3,9.8,.088,104.3,https://www.basketball-reference.com/boxscores/202503250SAC.html
2025-03-25,2025-03-25,Sacramento Kings,True,Oklahoma City Thunder,105,121,100.7,.533,10.3,9.8,.088,104.3,0,1,.640,15.8,16.2,.195,120.2,https://www.basketball-reference.com/boxscores/202503250SAC.html
