date,visitor_team,visitor_score,home_team,home_score,visitor_pace,visitor_efg,visitor_tov_pct,visitor_orb_pct,visitor_ft_rate,visitor_ortg,home_pace,home_efg,home_tov_pct,home_orb_pct,home_ft_rate,home_ortg,home_win
2017-02-03,PHO,105,SAC,103,97.2,0.494,10.6,14.0,0.377,108.1,97.2,0.506,12.1,15.4,0.2,106.0,0
2017-01-27,MIA,100,CHI,88,96.7,0.511,9.6,17.1,0.101,103.5,96.7,0.442,19.1,21.4,0.244,91.0,0
2017-04-11,NOP,96,LAL,108,98.4,0.513,15.4,11.4,0.19,97.6,98.4,0.523,10.1,19.0,0.182,109.8,1
2019-02-25,IND,109,DET,113,92.8,0.517,10.3,27.3,0.218,117.5,92.8,0.545,10.8,33.3,0.193,121.8,1
2019-04-07,OKC,132,MIN,126,101.0,0.598,11.2,35.0,0.239,130.7,101.0,0.6,11.7,15.8,0.282,124.8,0
2022-01-08,MIA,123,PHO,100,96.8,0.625,12.9,27.5,0.148,127.1,96.8,0.468,14.1,13.6,0.329,103.4,0
2020-08-17,DAL,110,LAC,118,103.5,0.549,18.7,12.8,0.259,106.3,103.5,0.542,9.6,23.4,0.158,114.0,1
2021-01-01,MIA,83,DAL,93,97.5,0.417,13.6,10.0,0.231,85.1,97.5,0.487,15.4,10.0,0.218,95.4,1
2017-03-06,NOP,83,UTA,88,93.9,0.417,17.9,27.7,0.155,88.4,93.9,0.469,17.8,26.1,0.148,93.7,1
2022-01-09,MEM,127,LAL,119,100.4,0.61,10.7,27.0,0.256,126.5,100.4,0.536,10.2,27.5,0.155,118.5,0
2019-01-25,SAC,99,MEM,96,98.6,0.473,14.7,25.5,0.143,100.4,98.6,0.463,14.8,19.6,0.275,97.4,0
2016-03-21,SAC,102,CHI,109,96.7,0.506,16.7,32.6,0.148,105.5,96.7,0.516,8.2,23.4,0.165,112.7,1
2016-12-14,LAL,97,BRK,107,96.0,0.418,8.6,30.0,0.231,101.0,96.0,0.448,12.6,38.0,0.349,111.4,1
2019-11-03,CHI,95,IND,108,103.2,0.482,15.9,13.3,0.167,92.0,103.2,0.518,14.2,21.7,0.235,104.6,1
2017-11-17,MIA,91,WAS,88,94.5,0.47,14.2,20.4,0.157,96.3,94.5,0.44,11.6,14.3,0.167,93.1,0
2017-04-04,MIL,79,OKC,110,92.7,0.377,10.6,19.2,0.222,85.2,92.7,0.53,12.0,28.2,0.25,118.6,1
2017-11-15,DET,95,MIL,99,89.4,0.441,14.4,34.7,0.235,106.3,89.4,0.538,14.7,28.2,0.192,110.8,1
2022-01-23,POR,114,TOR,105,100.7,0.635,19.5,26.3,0.071,113.2,100.7,0.49,12.6,28.8,0.092,104.3,0
2019-01-25,PHO,95,DEN,132,100.2,0.467,14.6,4.7,0.316,94.8,100.2,0.58,10.1,32.7,0.245,131.7,1
2020-02-07,TOR,115,IND,106,101.7,0.574,14.4,18.2,0.159,113.0,101.7,0.512,17.3,26.2,0.209,104.2,0
2022-01-17,PHO,121,SAS,107,96.3,0.563,4.6,26.1,0.147,125.7,96.3,0.495,10.6,28.3,0.174,111.1,0
2015-11-30,POR,87,LAC,102,100.6,0.408,15.4,26.0,0.184,86.5,100.6,0.435,8.4,30.5,0.329,101.4,1
2019-02-22,MIN,115,NYK,104,105.6,0.534,11.4,15.2,0.253,108.9,105.6,0.494,17.2,18.6,0.221,98.5,0
2017-12-14,LAL,112,CLE,121,101.1,0.542,15.1,34.0,0.095,110.8,101.1,0.587,12.6,19.5,0.233,119.7,1
2020-03-06,MEM,96,DAL,121,98.3,0.518,17.5,20.5,0.107,97.7,98.3,0.568,8.9,25.5,0.137,123.1,1
2016-02-10,HOU,103,POR,116,100.4,0.552,17.9,19.5,0.234,102.6,100.4,0.506,11.1,33.3,0.292,115.6,1
2021-10-27,IND,100,TOR,118,97.1,0.544,20.3,26.5,0.177,103.0,97.1,0.53,8.4,34.0,0.12,121.6,1
2021-02-15,ATL,112,NYK,123,93.2,0.488,10.0,25.6,0.341,120.1,93.2,0.608,7.8,24.4,0.265,131.9,1
2018-11-08,LAC,105,POR,116,96.3,0.506,6.7,15.2,0.169,109.0,96.3,0.464,5.2,29.2,0.268,120.5,1
2017-11-25,NYK,102,HOU,117,100.7,0.518,16.2,15.4,0.165,101.3,100.7,0.532,6.3,20.9,0.181,116.2,1
2017-12-03,SAS,87,OKC,90,95.3,0.461,16.5,20.0,0.224,91.3,95.3,0.46,17.2,32.6,0.115,94.5,1
2016-02-27,DET,102,MIL,91,90.0,0.489,9.2,34.7,0.182,113.4,90.0,0.532,20.1,29.3,0.103,101.1,0
2018-11-11,ORL,115,NYK,89,103.3,0.536,9.7,19.6,0.102,111.3,103.3,0.381,15.8,23.6,0.25,86.1,0
2016-10-28,HOU,106,DAL,98,93.1,0.579,17.7,15.2,0.357,113.9,93.1,0.488,9.0,14.3,0.25,105.3,0
2018-11-05,MEM,101,GSW,117,95.0,0.512,9.8,9.5,0.193,106.3,95.0,0.586,12.5,23.5,0.272,123.2,1
2016-01-27,PHO,93,CLE,115,89.1,0.529,21.4,30.8,0.271,104.4,89.1,0.623,12.9,31.3,0.173,129.1,1
2017-04-12,TOR,98,CLE,83,88.2,0.512,7.9,27.3,0.116,111.1,88.2,0.434,14.8,21.7,0.224,94.1,0
2018-03-30,MIN,93,DAL,92,93.9,0.47,9.0,13.0,0.181,99.0,93.9,0.506,13.6,13.6,0.058,97.9,0
2018-03-17,MIN,101,SAS,117,90.5,0.525,15.1,27.0,0.198,111.6,90.5,0.542,4.7,36.8,0.135,129.3,1
2018-12-16,TOR,86,DEN,95,88.7,0.438,10.5,27.7,0.102,97.0,88.7,0.482,8.0,20.8,0.153,107.1,1
2018-12-05,DAL,106,NOP,132,105.5,0.505,15.2,21.2,0.154,100.5,105.5,0.647,9.8,12.8,0.141,125.1,1
2016-02-09,WAS,111,NYK,108,95.8,0.603,10.1,4.9,0.218,115.8,95.8,0.578,14.4,18.9,0.145,112.7,0
2020-09-06,HOU,109,LAL,117,95.3,0.59,16.2,20.0,0.218,114.4,95.3,0.639,14.2,25.0,0.133,122.8,1
2017-02-01,TOR,104,BOS,109,93.7,0.577,14.4,22.9,0.179,111.0,93.7,0.483,8.2,26.7,0.287,116.3,1
2018-03-23,BRK,112,TOR,116,100.8,0.554,8.4,11.6,0.226,111.1,100.8,0.558,9.2,12.5,0.233,115.1,1
2021-03-03,CHO,135,MIN,102,108.8,0.607,13.7,28.3,0.163,124.1,108.8,0.453,15.5,22.6,0.156,93.8,0
2016-04-13,TOR,103,BRK,96,93.1,0.511,8.3,32.0,0.086,110.6,93.1,0.494,7.8,10.9,0.09,103.1,0
2018-11-30,MEM,131,BRK,125,92.5,0.554,13.3,21.6,0.188,117.3,92.5,0.532,13.0,24.4,0.266,111.9,0
2019-01-15,MIN,107,PHI,149,105.6,0.433,9.5,16.4,0.322,101.3,105.6,0.712,12.9,24.2,0.196,141.1,1
2019-04-07,PHO,113,HOU,149,104.9,0.522,11.3,16.7,0.172,107.7,104.9,0.665,7.6,26.1,0.16,142.1,1
