Date,Game_Date_ISO,Time,Arena,Attendance,Game_Duration,Overtime,Away_Team_Name,Away_Score,Away_Team_Won,Away_Won_Binary,Away_eFG_PCT,Away_TOV_PCT,Away_ORB_PCT,Away_FT_Rate,Away_ORtg,Away_Opp_eFG_PCT,Away_Opp_TOV_PCT,Away_Opp_ORB_PCT,Away_Opp_FT_Rate,Away_Opp_ORtg,Home_Team_Name,Home_Score,Home_Team_Won,Home_Won_Binary,Home_eFG_PCT,Home_TOV_PCT,Home_ORB_PCT,Home_FT_Rate,Home_ORtg,Home_Opp_eFG_PCT,Home_Opp_TOV_PCT,Home_Opp_ORB_PCT,Home_Opp_FT_Rate,Home_Opp_ORtg,Game_Pace,Home_Point_Diff,eFG_PCT_Diff,TOV_PCT_Diff,ORB_PCT_Diff,FT_Rate_Diff,Box_Score_URL,Notes,Game_Date
2025-03-23,2025-03-23,3:30p,Delta Center,"18,175",2:12,,Cleveland Cavaliers,120,1,1,0.516,6.0,26.4,0.219,118.8,0.449,17.8,26.0,0.124,90.1,Utah Jazz,91,0,0,0.449,17.8,26.0,0.124,90.1,0.516,6.0,26.4,0.219,118.8,101.0,-29,-0.067,-11.8,-0.3999999999999986,-0.095,https://www.basketball-reference.com/boxscores/202503230UTA.html,,2025-03-23
2025-03-23,2025-03-23,6:00p,State Farm Arena,"16,161",2:11,,Philadelphia 76ers,119,0,0,0.5,10.8,31.0,0.308,117.6,0.649,15.0,29.4,0.218,130.4,Atlanta Hawks,132,1,1,0.649,15.0,29.4,0.218,130.4,0.5,10.8,31.0,0.308,117.6,101.2,13,0.14900000000000002,-4.199999999999999,-1.6000000000000014,-0.09,https://www.basketball-reference.com/boxscores/202503230ATL.html,,2025-03-23
2025-03-23,2025-03-23,6:00p,Kaseya Center,"19,700",2:09,,Charlotte Hornets,105,0,0,0.534,17.7,32.4,0.138,110.1,0.646,11.7,20.0,0.195,127.9,Miami Heat,122,1,1,0.646,11.7,20.0,0.195,127.9,0.534,17.7,32.4,0.138,110.1,95.4,17,0.11199999999999999,6.0,-12.399999999999999,0.056999999999999995,https://www.basketball-reference.com/boxscores/202503230MIA.html,,2025-03-23
2025-03-23,2025-03-23,6:00p,Moda Center,"18,181",1:58,,Boston Celtics,129,1,1,0.676,8.7,28.9,0.114,141.2,0.597,11.2,28.9,0.125,127.0,Portland Trail Blazers,116,0,0,0.597,11.2,28.9,0.125,127.0,0.676,8.7,28.9,0.114,141.2,91.3,-13,-0.07900000000000007,-2.5,0.0,0.010999999999999996,https://www.basketball-reference.com/boxscores/202503230POR.html,,2025-03-23
2025-03-23,2025-03-23,6:00p,Scotiabank Arena,"18,276",2:07,,San Antonio Spurs,123,1,1,0.558,12.3,30.2,0.314,124.5,0.435,18.4,32.7,0.098,90.1,Toronto Raptors,89,0,0,0.435,18.4,32.7,0.098,90.1,0.558,12.3,30.2,0.314,124.5,98.8,-34,-0.12300000000000005,-6.099999999999998,2.5000000000000036,-0.216,https://www.basketball-reference.com/boxscores/202503230TOR.html,,2025-03-23
2025-03-23,2025-03-23,7:00p,Toyota Center,"18,055",2:33,,Denver Nuggets,116,1,1,0.563,8.4,25.6,0.207,124.9,0.5,5.5,32.7,0.247,119.5,Houston Rockets,111,0,0,0.5,5.5,32.7,0.247,119.5,0.563,8.4,25.6,0.207,124.9,92.9,-5,-0.06299999999999994,2.9000000000000004,7.100000000000001,0.04000000000000001,https://www.basketball-reference.com/boxscores/202503230HOU.html,,2025-03-23
2025-03-23,2025-03-23,9:00p,Intuit Dome,"17,927",2:25,,Oklahoma City Thunder,103,1,1,0.467,8.2,21.3,0.185,108.0,0.476,12.9,25.6,0.28,105.9,Los Angeles Clippers,101,0,0,0.476,12.9,25.6,0.28,105.9,0.467,8.2,21.3,0.185,108.0,95.4,-2,0.008999999999999952,-4.700000000000001,4.300000000000001,0.09500000000000003,https://www.basketball-reference.com/boxscores/202503230LAC.html,,2025-03-23
2025-03-24,2025-03-24,7:00p,Gainbridge Fieldhouse,"17,274",2:07,,Minnesota Timberwolves,103,0,0,0.533,15.1,19.6,0.066,101.2,0.559,10.7,20.0,0.149,117.0,Indiana Pacers,119,1,1,0.559,10.7,20.0,0.149,117.0,0.533,15.1,19.6,0.066,101.2,101.7,16,0.026000000000000023,4.4,0.3999999999999986,0.08299999999999999,https://www.basketball-reference.com/boxscores/202503240IND.html,,2025-03-24
2025-03-24,2025-03-24,7:00p,Kia Center,"19,598",2:16,,Los Angeles Lakers,106,0,0,0.525,10.6,26.2,0.275,118.1,0.582,8.6,30.0,0.224,131.4,Orlando Magic,118,1,1,0.582,8.6,30.0,0.224,131.4,0.525,10.6,26.2,0.275,118.1,89.8,12,0.05699999999999994,2.0,3.8000000000000007,-0.05100000000000002,https://www.basketball-reference.com/boxscores/202503240ORL.html,,2025-03-24
2025-03-24,2025-03-24,7:00p,Capital One Arena,"13,532",2:16,,Toronto Raptors,112,1,1,0.455,9.6,30.4,0.198,105.5,0.466,14.3,17.3,0.264,98.0,Washington Wizards,104,0,0,0.466,14.3,17.3,0.264,98.0,0.455,9.6,30.4,0.198,105.5,106.1,-8,0.01100000000000001,-4.700000000000001,-13.099999999999998,0.066,https://www.basketball-reference.com/boxscores/202503240WAS.html,,2025-03-24
2025-03-24,2025-03-24,7:30p,Barclays Center,"16,434",1:58,,Dallas Mavericks,120,1,1,0.621,10.5,28.2,0.138,128.9,0.583,18.4,23.1,0.128,108.5,Brooklyn Nets,101,0,0,0.583,18.4,23.1,0.128,108.5,0.621,10.5,28.2,0.138,128.9,93.1,-19,-0.038000000000000034,-7.899999999999999,-5.099999999999998,-0.010000000000000009,https://www.basketball-reference.com/boxscores/202503240BRK.html,,2025-03-24
