date,visitor_team,visitor_score,home_team,home_score,visitor_pace,home_pace,visitor_efg,visitor_tov_pct,visitor_orb_pct,visitor_ft_rate,visitor_ortg,home_efg,home_tov_pct,home_orb_pct,home_ft_rate,home_ortg,home_win
2025-03-22,MIL,114,SAC,108,90.8,90.8,0.601,9.7,26.8,0.155,125.5,0.5,7.4,31.1,0.187,118.9,0
2025-03-22,CHI,146,LAL,115,103.3,103.3,0.682,8.7,27.8,0.156,141.4,0.582,18.2,22.0,0.188,111.3,0
2025-03-22,WAS,103,NYK,122,103.1,103.1,0.506,17.2,22.2,0.159,99.9,0.555,13.5,31.1,0.231,118.4,1
2025-03-22,GSW,115,ATL,124,98.6,98.6,0.56,9.5,14.3,0.25,116.6,0.657,14.6,23.8,0.128,125.7,1
2025-03-23,DEN,116,HOU,111,92.9,92.9,0.563,8.4,25.6,0.207,124.9,0.5,5.5,32.7,0.247,119.5,0
2025-03-23,NOP,130,DET,136,97.4,97.4,0.694,16.4,32.3,0.141,133.4,0.622,7.2,28.9,0.337,139.6,1
2025-03-23,CLE,120,UTA,91,101.0,101.0,0.516,6.0,26.4,0.219,118.8,0.449,17.8,26.0,0.124,90.1,0
2025-03-23,PHI,119,ATL,132,101.2,101.2,0.5,10.8,31.0,0.308,117.6,0.649,15.0,29.4,0.218,130.4,1
2025-03-23,CHO,105,MIA,122,95.4,95.4,0.534,17.7,32.4,0.138,110.1,0.646,11.7,20.0,0.195,127.9,1
2025-03-23,BOS,129,POR,116,91.3,91.3,0.676,8.7,28.9,0.114,141.2,0.597,11.2,28.9,0.125,127.0,0
2025-03-23,SAS,123,TOR,89,98.8,98.8,0.558,12.3,30.2,0.314,124.5,0.435,18.4,32.7,0.098,90.1,0
2025-03-23,OKC,103,LAC,101,95.4,95.4,0.467,8.2,21.3,0.185,108.0,0.476,12.9,25.6,0.28,105.9,0
2025-03-24,MIL,106,PHX,108,90.8,90.8,0.518,6.8,19.1,0.241,116.7,0.561,15.1,34.1,0.195,118.9,1
2025-03-24,CHI,129,DEN,119,99.1,99.1,0.588,8.9,25.5,0.242,130.2,0.531,10.0,35.4,0.165,120.1,0
2025-03-24,PHI,99,NOP,112,93.0,93.0,0.471,11.2,24.0,0.195,106.4,0.58,15.5,34.2,0.126,120.4,1
2025-03-24,DAL,120,BKN,101,93.1,93.1,0.621,10.5,28.2,0.138,128.9,0.583,18.4,23.1,0.128,108.5,0
2025-03-24,LAL,106,ORL,118,89.8,89.8,0.525,10.6,26.2,0.275,118.1,0.582,8.6,30.0,0.224,131.4,1
2025-03-24,MIN,103,IND,119,101.7,101.7,0.533,15.1,19.6,0.066,101.2,0.559,10.7,20.0,0.149,117.0,1
2025-03-24,BOS,113,SAC,95,96.4,96.4,0.561,9.2,21.3,0.133,117.2,0.5,14.2,18.6,0.105,98.5,0
2025-03-24,TOR,112,WAS,104,106.1,106.1,0.455,9.6,30.4,0.198,105.5,0.466,14.3,17.3,0.264,98.0,0
2025-03-25,GSW,86,MIA,112,90.3,90.3,0.452,15.1,29.2,0.133,95.3,0.669,17.9,25.0,0.117,124.1,1
2025-03-25,MEM,140,UTA,103,94.9,94.9,0.633,7.8,41.5,0.163,147.6,0.545,13.8,10.3,0.231,108.6,0
2025-03-25,SAS,96,DET,122,91.8,91.8,0.44,9.9,29.6,0.176,104.6,0.66,11.0,19.4,0.244,132.9,1
2025-03-25,DAL,113,NYK,128,102.9,102.9,0.575,15.0,13.9,0.263,109.8,0.652,13.4,15.2,0.135,124.4,1
2025-03-25,CLE,122,POR,111,96.3,96.3,0.614,12.8,25.7,0.159,126.6,0.485,8.4,37.3,0.14,115.2,0
2025-03-25,ATL,114,HOU,121,101.2,101.2,0.49,11.3,32.7,0.126,112.6,0.511,13.1,36.8,0.28,119.5,1
2025-03-25,ORL,111,CHO,104,95.2,95.2,0.528,10.1,30.2,0.178,116.6,0.5,10.2,17.8,0.182,109.2,0
2025-03-25,OKC,121,SAC,105,100.7,100.7,0.64,15.8,16.2,0.195,120.2,0.533,10.3,9.8,0.088,104.3,0
